                                         STRUCTURE OUTFLOW DISCHARGE
  INFLOW AND OUTFLOW DISCHARGE MAY BE DIFFERENT IF STRUCTURE IS A LONG CULVERT OR IF OUTFLOW COMBINES MULTIPLE CULVERTS
                                   OUTFLOW DISCHARGE IS REPORTED AS NEGATIVE

     FLOODPLAIN GRID ELEMENTS     TIME (HRS)               DISCHARGE (CFS OR CMS)

 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        84.52  AT TIME:     4.60
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.04                     -0.04
                                     0.90               0.01                     -0.01
                                     1.00               0.01                     -0.01
                                     1.10               0.01                     -0.01
                                     1.20               0.01                     -0.01
                                     1.30               0.01                     -0.01
                                     1.40               0.01                     -0.01
                                     1.50               0.01                     -0.01
                                     1.60               0.01                     -0.01
                                     1.70               0.01                     -0.01
                                     1.80               0.01                     -0.01
                                     1.90               0.01                     -0.01
                                     2.00               0.01                     -0.01
                                     2.10               0.01                     -0.01
                                     2.20               0.01                     -0.01
                                     2.30               0.01                     -0.01
                                     2.40               0.01                     -0.01
                                     2.50               0.01                     -0.01
                                     2.60               0.01                     -0.01
                                     2.70               0.01                     -0.01
                                     2.80               0.02                     -0.02
                                     2.90               0.02                     -0.02
                                     3.00               0.02                     -0.02
                                     3.10               0.04                     -0.04
                                     3.20               0.04                     -0.04
                                     3.30               0.52                     -0.52
                                     3.40               0.68                     -0.68
                                     3.50               0.76                     -0.76
                                     3.60               0.97                     -0.97
                                     3.70               1.23                     -1.23
                                     3.80               2.00                     -2.00
                                     3.90              12.12                    -12.12
                                     4.00              28.41                    -28.41
                                     4.10              32.34                    -32.34
                                     4.20              33.37                    -33.37
                                     4.30              46.95                    -46.95
                                     4.40              68.90                    -68.90
                                     4.50              80.72                    -80.72
                                     4.60              84.52                    -84.52
                                     4.70              84.04                    -84.04
                                     4.80              81.93                    -81.93
                                     4.90              79.14                    -79.14
                                     5.00              75.89                    -75.89
                                     5.10              72.22                    -72.22
                                     5.20              68.81                    -68.81
                                     5.30              65.60                    -65.60
                                     5.40              62.73                    -62.73
                                     5.50              60.40                    -60.40
                                     5.60              58.09                    -58.09
                                     5.70              55.84                    -55.84
                                     5.80              53.60                    -53.60
                                     5.90              51.38                    -51.38
                                     6.00              49.22                    -49.22
                                     6.10              46.39                    -46.39
                                     6.20              45.12                    -45.12
                                     6.30              43.91                    -43.91

 THE MAXIMUM DISCHARGE FOR: Grnway2         STRUCTURE NO.        2 IS:       184.61  AT TIME:     4.90
                                        INFLOW NODE:     17840 AND OUTFLOW NODE:     17127
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
