  OUTFALL DISCHARGE TO FLO-2D

GRID ELEMENT:      34301        CHANNEL ELEMENT:         86
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.354
          0.200           -0.880
          0.300            0.935
          0.400           -1.272
          0.500            1.268
          0.600           -1.785
          0.700            1.737
          0.800           -1.863
          0.900            1.704
          1.000           -0.999
          1.100           -0.173
          1.200            1.428
          1.300           -1.887
          1.400            0.993
          1.500            0.352
          1.600           -0.074
          1.700            0.043
          1.800            0.048
          1.900            0.063
          2.000            0.060
          2.100            0.088
          2.200            0.118
          2.300            0.305
          2.400            0.445
          2.500            0.867
          2.600            2.148
          2.700            3.627
          2.800            4.574
          2.900            5.143
          3.000            5.594
          3.100            5.800
          3.200            6.127
          3.300            6.056
          3.400            6.802
          3.500            7.419
          3.600            7.971
          3.700            8.339
          3.800            8.163
          3.900            2.738
          4.000            7.652
          4.100            8.391
          4.200            7.964
          4.300            7.176
          4.400            7.549
          4.500            8.131
          4.600            8.500
          4.700            8.500
          4.800            8.500
          4.900            8.500
          5.000            8.500
          5.100            8.500
          5.200            8.500
          5.300            8.500
          5.400            8.500
          5.500            8.500
          5.600            8.500
          5.700            8.500
          5.800            8.500
          5.900            8.500
          6.000            8.500
          6.100            8.500
          6.200            8.500
          6.300            8.500

GRID ELEMENT:      29460        CHANNEL ELEMENT:        109
        TIME (HRS)    DISCHARGE (CFS OR CMS)
          0.000            0.000
          0.100            0.000
          0.200            0.000
          0.300            0.000
          0.400            0.000
          0.500            0.000
          0.600            0.000
          0.700            0.000
          0.800            0.000
          0.900            0.001
          1.000            0.001
          1.100            0.001
          1.200            0.001
          1.300            0.001
          1.400            0.001
          1.500            0.001
          1.600            0.001
          1.700            0.001
          1.800            0.002
          1.900            0.002
          2.000            0.002
          2.100            0.002
          2.200            0.002
          2.300            0.002
          2.400            0.002
          2.500            0.002
          2.600            0.003
          2.700            0.003
          2.800            0.006
          2.900            0.008
          3.000            0.008
          3.100            0.018
          3.200            0.021
          3.300            0.030
          3.400            0.041
          3.500            0.045
          3.600            0.084
          3.700            0.101
