NODE,X-COORD,Y-COORD,FLOODWAVE_ARRIVAL_TIME,FLOODTIME,TIME_TO_PEAK,DEFLOOD_TIME,MAX_WSEL
1,656980.359,963885.000,0.00,0.00,0.00,0.00,0.00
2,656980.359,963855.000,0.00,0.00,0.00,0.00,0.00
3,656980.359,963825.000,0.00,0.00,0.00,0.00,0.00
4,656980.359,963795.000,0.00,0.00,0.00,0.00,0.00
5,656980.359,963765.000,0.00,0.00,0.00,0.00,0.00
6,656980.359,963735.000,0.00,0.00,0.00,0.00,0.00
7,656980.359,963705.000,0.00,0.00,0.00,0.00,0.00
8,656980.359,963675.000,0.00,0.00,0.00,0.00,0.00
9,656980.359,963645.000,0.00,0.00,0.00,0.00,0.00
10,656980.359,963615.000,0.00,0.00,0.00,0.00,0.00
11,656980.359,963585.000,0.00,0.00,0.00,0.00,0.00
12,656980.359,963555.000,0.00,0.00,0.00,0.00,0.00
13,656980.359,963525.000,0.00,0.00,0.00,0.00,0.00
14,656980.359,963495.000,0.00,0.00,0.00,0.00,0.00
15,656980.359,963465.000,0.00,0.00,0.00,0.00,0.00
16,656980.359,963435.000,0.00,0.00,0.00,0.00,0.00
17,656980.359,963405.000,0.00,0.00,0.00,0.00,0.00
18,656980.359,963375.000,0.00,0.00,0.00,0.00,0.00
19,656980.359,963345.000,0.00,0.00,0.00,0.00,0.00
20,656980.359,963315.000,0.00,0.00,0.00,0.00,0.00
21,656980.359,963285.000,0.00,0.00,0.00,0.00,0.00
22,656980.359,963255.000,0.00,0.00,0.00,0.00,0.00
23,656980.359,963225.000,0.00,0.00,0.00,0.00,0.00
24,656980.359,963195.000,0.00,0.00,0.00,0.00,0.00
25,656980.359,963165.000,0.00,0.00,0.00,0.00,0.00
26,656980.359,963135.000,0.00,0.00,0.00,0.00,0.00
27,656980.359,963105.000,0.00,0.00,0.00,0.00,0.00
28,656980.359,963075.000,0.00,0.00,0.00,0.00,0.00
29,656980.359,963045.000,0.00,0.00,0.00,0.00,0.00
30,656980.359,963015.000,0.00,0.00,0.00,0.00,0.00
31,656980.359,962985.000,0.00,0.00,0.00,0.00,0.00
32,656980.359,962955.000,0.00,0.00,0.00,0.00,0.00
33,656980.359,962925.000,0.00,0.00,0.00,0.00,0.00
34,656980.359,962895.000,0.00,0.00,0.00,0.00,0.00
35,656980.359,962865.000,0.00,0.00,0.00,0.00,0.00
36,656980.359,962835.000,0.00,0.00,0.00,0.00,0.00
37,656980.359,962805.000,0.00,0.00,0.00,0.00,0.00
38,656980.359,962775.000,0.00,0.00,0.00,0.00,0.00
39,656980.359,962745.000,0.00,0.00,0.00,0.00,0.00
40,656980.359,962715.000,0.00,0.00,0.00,0.00,0.00
41,656980.359,962685.000,0.00,0.00,0.00,0.00,0.00
42,656980.359,962655.000,0.00,0.00,0.00,0.00,0.00
43,656980.359,962625.000,0.00,0.00,0.00,0.00,0.00
44,656980.359,962595.000,0.00,0.00,0.00,0.00,0.00
45,656980.359,962565.000,0.00,0.00,0.00,0.00,0.00
46,656980.359,962535.000,0.00,0.00,0.00,0.00,0.00
47,656980.359,962505.000,0.00,0.00,0.00,0.00,0.00
48,656980.359,962475.000,0.00,0.00,0.00,0.00,0.00
49,656980.359,962445.000,0.00,0.00,0.00,0.00,0.00
50,656980.359,962415.000,0.00,0.00,0.00,0.00,0.00
51,656980.359,962385.000,0.00,0.00,0.00,0.00,0.00
52,656980.359,962355.000,0.00,0.00,0.00,0.00,0.00
53,656980.359,962325.000,0.00,0.00,0.00,0.00,0.00
54,656980.359,962295.000,0.00,0.00,0.00,0.00,0.00
55,656980.359,962265.000,0.00,0.00,0.00,0.00,0.00
56,656980.359,962235.000,0.00,0.00,0.00,0.00,0.00
57,656980.359,962205.000,0.00,0.00,0.00,0.00,0.00
58,656980.359,962175.000,0.00,0.00,0.00,0.00,0.00
59,656980.359,962145.000,0.00,0.00,0.00,0.00,0.00
60,656980.359,962115.000,0.00,0.00,0.00,0.00,0.00
61,656980.359,962085.000,0.00,0.00,0.00,0.00,0.00
62,656980.359,962055.000,0.00,0.00,0.00,0.00,0.00
63,656980.359,962025.000,0.00,0.00,0.00,0.00,0.00
64,656980.359,961995.000,0.00,0.00,0.00,0.00,0.00
65,656980.359,961965.000,0.00,0.00,0.00,0.00,0.00
66,656980.359,961935.000,0.00,0.00,0.00,0.00,0.00
67,656980.359,961905.000,0.00,0.00,0.00,0.00,0.00
68,656980.359,961875.000,0.00,0.00,0.00,0.00,0.00
69,656980.359,961845.000,0.00,0.00,0.00,0.00,0.00
70,656980.359,961815.000,0.00,0.00,0.00,0.00,0.00
71,656980.359,961785.000,0.00,0.00,0.00,0.00,0.00
72,656980.359,961755.000,0.00,0.00,0.00,0.00,0.00
73,656980.359,961725.000,0.00,0.00,0.00,0.00,0.00
74,656980.359,961695.000,0.00,0.00,0.00,0.00,0.00
75,656980.359,961665.000,0.00,0.00,0.00,0.00,0.00
76,656980.359,961635.000,0.00,0.00,0.00,0.00,0.00
77,656980.359,961605.000,0.00,0.00,0.00,0.00,0.00
78,656980.359,961575.000,0.00,0.00,0.00,0.00,0.00
79,656980.359,961545.000,0.00,0.00,0.00,0.00,0.00
80,656980.359,961515.000,0.00,0.00,0.00,0.00,0.00
81,656980.359,961485.000,0.00,0.00,0.00,0.00,0.00
82,656980.359,961455.000,0.00,0.00,0.00,0.00,0.00
83,656980.359,961425.000,0.00,0.00,0.00,0.00,0.00
84,656980.359,961395.000,0.00,0.00,0.00,0.00,0.00
85,656980.359,961365.000,0.00,0.00,0.00,0.00,0.00
86,656980.359,961335.000,0.00,0.00,0.00,0.00,0.00
87,656980.359,961305.000,0.00,0.00,0.00,0.00,0.00
88,656980.359,961275.000,0.00,0.00,0.00,0.00,0.00
89,656980.359,961245.000,0.00,0.00,0.00,0.00,0.00
90,656980.359,961215.000,0.00,0.00,0.00,0.00,0.00
91,656980.359,961185.000,0.00,0.00,0.00,0.00,0.00
92,656980.359,961155.000,0.00,0.00,0.00,0.00,0.00
93,656980.359,961125.000,0.00,0.00,0.00,0.00,0.00
94,656980.359,961095.000,0.00,0.00,0.00,0.00,0.00
95,656980.359,961065.000,0.00,0.00,0.00,0.00,0.00
96,656980.359,961035.000,0.00,0.00,0.00,0.00,0.00
97,656980.359,961005.000,0.00,0.00,0.00,0.00,0.00
98,656980.359,960975.000,0.00,0.00,0.00,0.00,0.00
99,656980.359,960945.000,0.00,0.00,0.00,0.00,0.00
100,656980.359,960915.000,0.00,0.00,0.00,0.00,0.00
101,656980.359,960885.000,0.00,0.00,0.00,0.00,0.00
102,656980.359,960855.000,0.00,0.00,0.00,0.00,0.00
103,656980.359,960825.000,0.00,0.00,0.00,0.00,0.00
104,656980.359,960795.000,0.00,0.00,0.00,0.00,0.00
105,656980.359,960765.000,0.00,0.00,0.00,0.00,0.00
106,656980.359,960735.000,0.00,0.00,0.00,0.00,0.00
107,656980.359,960705.000,0.00,0.00,0.00,0.00,0.00
108,656980.359,960675.000,0.00,0.00,0.00,0.00,0.00
109,656980.359,960645.000,0.00,0.00,0.00,0.00,0.00
110,656980.359,960615.000,0.00,0.00,0.00,0.00,0.00
111,656980.359,960585.000,0.00,0.00,0.00,0.00,0.00
112,656980.359,960555.000,0.00,0.00,0.00,0.00,0.00
113,656980.359,960525.000,0.00,0.00,0.00,0.00,0.00
114,656980.359,960495.000,0.00,0.00,0.00,0.00,0.00
115,656980.359,960465.000,0.00,0.00,0.00,0.00,0.00
116,656980.359,960435.000,0.00,0.00,0.00,0.00,0.00
117,656980.359,960405.000,0.00,0.00,0.00,0.00,0.00
118,656980.359,960375.000,0.00,0.00,0.00,0.00,0.00
119,656980.359,960345.000,0.00,0.00,0.00,0.00,0.00
120,656980.359,960315.000,0.00,0.00,0.00,0.00,0.00
121,656980.359,960285.000,0.00,0.00,0.00,0.00,0.00
122,656980.359,960255.000,0.00,0.00,0.00,0.00,0.00
123,656980.359,960225.000,0.00,0.00,0.00,0.00,0.00
124,656980.359,960195.000,0.00,0.00,0.00,0.00,0.00
125,656980.359,960165.000,0.00,0.00,0.00,0.00,0.00
126,656980.359,960135.000,0.00,0.00,0.00,0.00,0.00
127,656980.359,960105.000,0.00,0.00,0.00,0.00,0.00
128,656980.359,960075.000,0.00,0.00,0.00,0.00,0.00
129,656980.359,960045.000,0.00,0.00,0.00,0.00,0.00
130,656980.359,960015.000,0.00,0.00,0.00,0.00,0.00
131,656980.359,959985.000,0.00,0.00,0.00,0.00,0.00
132,656980.359,959955.000,0.00,0.00,0.00,0.00,0.00
133,656980.359,959925.000,0.00,0.00,0.00,0.00,0.00
134,656980.359,959895.000,0.00,0.00,0.00,0.00,0.00
135,656980.359,959865.000,0.00,0.00,0.00,0.00,0.00
136,656980.359,959835.000,0.00,0.00,0.00,0.00,0.00
137,656980.359,959805.000,0.00,0.00,0.00,0.00,0.00
138,656980.359,959775.000,0.00,0.00,0.00,0.00,0.00
139,656980.359,959745.000,0.00,0.00,0.00,0.00,0.00
140,656980.359,959715.000,0.00,0.00,0.00,0.00,0.00
141,656980.359,959685.000,0.00,0.00,0.00,0.00,0.00
142,656980.359,959655.000,0.00,0.00,0.00,0.00,0.00
143,656980.359,959625.000,0.00,0.00,0.00,0.00,0.00
144,656980.359,959595.000,0.00,0.00,0.00,0.00,0.00
145,656980.359,959565.000,0.00,0.00,0.00,0.00,0.00
146,656980.359,959535.000,0.00,0.00,0.00,0.00,0.00
147,656980.359,959505.000,0.00,0.00,0.00,0.00,0.00
148,656980.359,959475.000,0.00,0.00,0.00,0.00,1388.55
149,656980.359,959445.000,0.00,0.00,0.00,0.00,1385.63
150,656980.359,959415.000,0.00,0.00,0.00,0.00,1380.24
151,656980.359,959385.000,0.00,0.00,0.00,0.00,1377.91
152,656980.359,959355.000,0.00,0.00,0.00,0.00,1376.11
153,656980.359,959325.000,0.00,0.00,0.00,0.00,1376.77
154,656980.359,959295.000,0.00,0.00,0.00,0.00,1377.78
155,656980.359,959265.000,0.00,0.00,0.00,0.00,1381.40
156,656980.359,959235.000,0.00,0.00,0.00,0.00,0.00
157,656980.359,959205.000,0.00,0.00,0.00,0.00,0.00
158,656980.359,959175.000,0.00,0.00,0.00,0.00,0.00
159,656980.359,959145.000,0.00,0.00,0.00,0.00,0.00
160,656980.359,959115.000,0.00,0.00,0.00,0.00,0.00
161,656980.359,959085.000,0.00,0.00,0.00,0.00,0.00
162,656980.359,959055.000,0.00,0.00,0.00,0.00,0.00
163,656980.359,959025.000,0.00,0.00,0.00,0.00,0.00
164,656980.359,958995.000,0.00,0.00,0.00,0.00,0.00
165,656980.359,958965.000,0.00,0.00,0.00,0.00,0.00
166,656980.359,958935.000,0.00,0.00,0.00,0.00,0.00
167,657010.359,963885.000,0.00,0.00,0.00,0.00,0.00
168,657010.359,963855.000,0.00,0.00,0.00,0.00,0.00
169,657010.359,963825.000,0.00,0.00,0.00,0.00,0.00
170,657010.359,963795.000,0.00,0.00,0.00,0.00,0.00
171,657010.359,963765.000,0.00,0.00,0.00,0.00,0.00
